from	to	r	t	p.value	FDR	significant	group
evm.TU.06.1550	evm.TU.05.339	0.9954437128654722	20.879563734919262	1.5546167490944152e-5	0.00145042904208615	TRUE	0
evm.TU.06.60	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
evm.TU.07.122	evm.TU.05.339	0.9999832627978739	345.6751147403351	2.100992790940653e-10	3.9330585046409025e-7	TRUE	0
evm.TU.07.1601	evm.TU.05.339	0.9921482182616166	15.865786996663484	4.611684082908638e-5	0.001628881623246221	TRUE	0
evm.TU.07.1704	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
evm.TU.07.1707	evm.TU.05.339	0.9881682619799773	12.885760525606782	1.0457843710679264e-4	0.0033753592114468245	TRUE	0
evm.TU.07.1742	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
evm.TU.07.1744	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
evm.TU.07.66	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
evm.TU.07.69	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
evm.TU.07.70	evm.TU.05.339	0.999418253064581	58.608201479899606	2.537729025713955e-7	5.938285920170654e-5	TRUE	0
evm.TU.08.122	evm.TU.05.339	0.9981450152883735	32.78989067183918	2.5791304743876012e-6	3.307097047081259e-4	TRUE	0
evm.TU.08.129	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
evm.TU.08.1943	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
evm.TU.08.214	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
evm.TU.08.661	evm.TU.05.339	0.9951793485792068	20.29492804656606	1.740100369651161e-5	0.00145042904208615	TRUE	0
evm.TU.10.1538	evm.TU.05.339	0.991726933330395	15.451617310422321	5.1191164406887916e-5	0.0017746270327721142	TRUE	0
evm.TU.10.2175	evm.TU.05.339	0.9957259755636475	21.56258761020345	1.3680944956410307e-5	0.0013479331030736893	TRUE	0
evm.TU.10.280	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
novel_gene_1015_5bd9a17a	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
novel_gene_1074_5bd9a17a	evm.TU.05.339	0.9997482601742542	89.11627505356633	4.75257165266707e-8	1.779362826758551e-5	TRUE	0
novel_gene_1168_5bd9a17a	evm.TU.05.339	0.999469866123861	61.397330701045185	2.1074419751113017e-7	5.635901967726224e-5	TRUE	0
novel_gene_1215_5bd9a17a	evm.TU.05.339	0.9921482182616166	15.865786996663484	4.611684082908638e-5	0.001628881623246221	TRUE	0
novel_gene_1219_5bd9a17a	evm.TU.05.339	0.9952351480185478	20.414274518971	1.7000815725097634e-5	0.00145042904208615	TRUE	0
novel_gene_1377_5bd9a17a	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
novel_gene_1398_5bd9a17a	evm.TU.05.339	0.9921482182616166	15.865786996663484	4.611684082908638e-5	0.001628881623246221	TRUE	0
novel_gene_1708_5bd9a17a	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
novel_gene_1838_5bd9a17a	evm.TU.05.339	0.9983786513421967	35.079079003949175	1.9705130638466544e-6	2.837538811939182e-4	TRUE	0
novel_gene_183_5bd9a17a	evm.TU.05.339	0.9915272204933918	15.26611611785844	5.3688933467638105e-5	0.001823573284312184	TRUE	0
novel_gene_1845_5bd9a17a	evm.TU.05.339	0.9974963388021761	28.210483571649284	4.697316108106239e-6	5.172573973161695e-4	TRUE	0
novel_gene_2014_5bd9a17a	evm.TU.05.339	0.9994818069119419	62.101251523097574	2.0135827055329168e-7	5.635901967726224e-5	TRUE	0
novel_gene_2039_5bd9a17a	evm.TU.05.339	0.9973655094827373	27.49838880544045	5.2008340172687766e-6	5.408867377959528e-4	TRUE	0
novel_gene_2177_5bd9a17a	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
novel_gene_2225_5bd9a17a	evm.TU.05.339	0.9921482182616166	15.865786996663484	4.611684082908638e-5	0.001628881623246221	TRUE	0
novel_gene_222_5bd9a17a	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
novel_gene_2262_5bd9a17a	evm.TU.05.339	0.9989563403178285	43.741673619567116	8.166349539494738e-7	1.6986007042149056e-4	TRUE	0
novel_gene_2280_5bd9a17a	evm.TU.05.339	0.9914593456671601	15.204551415493128	5.455133756489439e-5	0.001823573284312184	TRUE	0
novel_gene_2387_5bd9a17a	evm.TU.05.339	0.9921482182616166	15.865786996663484	4.611684082908638e-5	0.001628881623246221	TRUE	0
novel_gene_2413_5bd9a17a	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
